V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
0.75 V,1000 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.982396428158632
0.75 V,1000 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9720484801831758
0.75 V,1000 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9723011979333168
0.75 V,1000 Ω,20 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9724368293489423
0.75 V,1000 Ω,20 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9723318784877834
0.75 V,1000 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9446652996064495
0.75 V,1000 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9445065452806203
0.75 V,1000 Ω,50 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9445273538731705
0.75 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9444344822618432
1 V,100 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9695439722171212
1 V,100 Ω,5 kΩ,25 Hz,100 μFµF,100 μFµF,47 μF,NSRLL30XV2,LMR1901YG-M,0.9841964427002917
1 V,100 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,10 μF,NSRLL30XV2,LMR1901YG-M,0.9943729877371921
1 V,100 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9953517477817934
1 V,100 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9538584378235522
1 V,100 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9549704821854572
1 V,100 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9546093576887682
1 V,100 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9544339439615827
1 V,100 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9226458193033453
1 V,100 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9196270767199628
1 V,100 Ω,20 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9183765704274219
1 V,100 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9181037953246366
1 V,100 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8390069571154578
1 V,100 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8280105187478275
1 V,100 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8257538749407892
1 V,100 Ω,50 kΩ,55 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,TLV2401,0.82462141525363
1 V,200 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9928442515956907
1 V,200 Ω,5 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9951886504674377
1 V,200 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9946069828239943
1 V,200 Ω,5 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9946644943626961
1 V,200 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,47 μF,NSRLL30XV2,LMR1901YG-M,0.953511569648563
1 V,200 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9913014047022195
1 V,200 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9911097014425081
1 V,200 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9911040732410101
1 V,200 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9190917133651485
